#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 294000      8.49e+00      8.20e-03      8.45e-02      4.11e-02    3.7e-04
 296000      8.75e+00      2.11e-02      8.74e-02      2.16e-02    3.6e-04
 298000      6.43e+00      1.23e-02      6.41e-02      3.60e-02    3.6e-04
 300000      5.81e+00      1.25e-02      5.81e-02      2.17e-02    3.6e-04
 302000      8.75e+00      9.68e-03      8.75e-02      1.84e-02    3.6e-04
 304000      9.02e+00      6.84e-03      9.01e-02      2.09e-02    3.5e-04
 306000      1.26e+01      6.72e-04      1.26e-01      4.74e-02    3.5e-04
 308000      6.64e+00      1.46e-02      6.63e-02      2.25e-02    3.5e-04
 310000      3.35e+00      3.95e-03      3.35e-02      7.58e-03    3.5e-04
 312000      9.61e+00      1.18e-02      9.60e-02      2.96e-02    3.4e-04
 314000      1.10e+01      2.34e-02      1.10e-01      2.32e-02    3.4e-04
 316000      6.17e+00      6.00e-03      6.14e-02      3.11e-02    3.4e-04
 318000      1.01e+01      1.10e-02      1.01e-01      2.04e-02    3.4e-04
 320000      7.80e+00      3.16e-03      7.80e-02      1.07e-02    3.3e-04
 322000      7.43e+00      8.19e-03      7.43e-02      1.70e-02    3.3e-04
 324000      3.69e+00      9.68e-03      3.68e-02      1.52e-02    3.3e-04
 326000      1.38e+01      6.23e-02      1.37e-01      1.35e-01    3.3e-04
 328000      1.22e+01      2.74e-03      1.22e-01      2.79e-02    3.3e-04
 330000      9.25e+00      1.37e-03      9.24e-02      2.37e-02    3.2e-04
 332000      2.01e+00      1.32e-02      1.94e-02      2.69e-02    3.2e-04
 334000      8.47e+00      1.24e-03      8.45e-02      3.29e-02    3.2e-04
 336000      1.15e+01      7.60e-03      1.15e-01      2.97e-02    3.2e-04
 338000      9.35e+00      8.76e-03      9.35e-02      8.96e-03    3.1e-04
 340000      8.13e+00      2.79e-03      8.13e-02      7.95e-03    3.1e-04
 342000      8.66e+00      3.12e-03      8.65e-02      2.14e-02    3.1e-04
 344000      6.83e+00      1.41e-02      6.82e-02      1.86e-02    3.1e-04
 346000      5.06e+00      4.27e-03      5.05e-02      2.03e-02    3.1e-04
 348000      8.78e+00      4.15e-03      8.77e-02      1.35e-02    3.0e-04
 350000      7.45e+00      1.99e-03      7.44e-02      2.00e-02    3.0e-04
 352000      5.83e+00      4.92e-03      5.83e-02      1.73e-02    3.0e-04
 354000      5.41e+00      5.25e-03      5.30e-02      5.35e-02    3.0e-04
 356000      6.20e+00      4.13e-03      6.20e-02      1.41e-02    3.0e-04
 358000      6.87e+00      1.36e-02      6.85e-02      3.56e-02    2.9e-04
 360000      9.38e+00      8.56e-03      9.37e-02      2.25e-02    2.9e-04
 362000      6.58e+00      4.29e-03      6.57e-02      1.48e-02    2.9e-04
 364000      7.61e+00      1.68e-02      7.60e-02      1.97e-02    2.9e-04
 366000      3.12e+00      9.48e-03      2.96e-02      7.05e-02    2.9e-04
 368000      1.17e+01      9.53e-03      1.17e-01      3.83e-02    2.8e-04
 370000      8.41e+00      1.22e-02      8.40e-02      2.29e-02    2.8e-04
 372000      7.18e+00      1.25e-02      7.17e-02      1.58e-02    2.8e-04
 374000      3.52e+00      5.26e-03      3.50e-02      2.05e-02    2.8e-04
 376000      9.01e+00      1.06e-03      9.01e-02      1.51e-02    2.8e-04
 378000      7.10e+00      9.75e-04      7.09e-02      1.24e-02    2.7e-04
 380000      6.69e+00      3.63e-02      6.68e-02      2.47e-02    2.7e-04
 382000      1.01e+01      5.29e-03      1.01e-01      3.84e-02    2.7e-04
 384000      9.57e+00      2.47e-03      9.57e-02      2.23e-02    2.7e-04
 386000      8.14e+00      1.54e-02      8.14e-02      7.75e-03    2.7e-04
 388000      5.76e+00      1.35e-02      5.75e-02      1.41e-02    2.7e-04
 390000      7.98e+00      3.99e-04      7.96e-02      2.39e-02    2.6e-04
 392000      7.49e+00      1.12e-02      7.48e-02      1.69e-02    2.6e-04
 394000      2.22e+00      9.08e-03      2.22e-02      8.32e-03    2.6e-04
 396000      3.42e+00      4.92e-04      3.40e-02      2.30e-02    2.6e-04
 398000      2.09e+00      1.26e-04      2.06e-02      1.65e-02    2.6e-04
 400000      8.39e+00      1.05e-02      8.39e-02      2.16e-02    2.5e-04
 402000      9.79e+00      9.46e-04      9.79e-02      1.92e-02    2.5e-04
 404000      9.61e+00      8.52e-03      9.61e-02      1.68e-02    2.5e-04
 406000      6.32e+00      1.34e-03      6.31e-02      1.78e-02    2.5e-04
 408000      5.18e+00      5.74e-03      5.18e-02      8.91e-03    2.5e-04
 410000      3.64e+00      2.52e-03      3.62e-02      1.86e-02    2.5e-04
 412000      9.47e+00      1.65e-02      9.47e-02      1.74e-02    2.4e-04
 414000      9.75e+00      1.43e-02      9.75e-02      1.10e-02    2.4e-04
 416000      3.25e+00      1.06e-02      3.22e-02      2.04e-02    2.4e-04
 418000      9.32e+00      1.16e-02      9.32e-02      6.65e-03    2.4e-04
 420000      7.40e+00      1.37e-02      7.40e-02      1.55e-02    2.4e-04
 422000      1.00e+01      6.08e-03      1.00e-01      3.51e-02    2.4e-04
 424000      1.64e+00      3.20e-03      1.61e-02      1.50e-02    2.3e-04
 426000      7.88e+00      1.66e-04      7.87e-02      1.36e-02    2.3e-04
 428000      8.32e+00      1.24e-02      8.32e-02      1.52e-02    2.3e-04
 430000      9.27e+00      5.41e-03      9.26e-02      2.42e-02    2.3e-04
 432000      8.43e+00      4.52e-03      8.43e-02      1.06e-02    2.3e-04
 434000      2.84e+00      2.34e-03      2.84e-02      1.25e-02    2.3e-04
 436000      7.29e+00      1.16e-02      7.29e-02      1.20e-02    2.3e-04
 438000      6.07e+00      2.15e-05      6.07e-02      1.07e-02    2.2e-04
 440000      7.01e+00      3.20e-03      6.97e-02      3.80e-02    2.2e-04
 442000      4.61e+00      5.91e-03      4.61e-02      8.33e-03    2.2e-04
 444000      9.63e+00      8.85e-03      9.62e-02      2.33e-02    2.2e-04
 446000      7.35e+00      2.17e-06      7.34e-02      1.68e-02    2.2e-04
 448000      7.13e+00      2.56e-03      7.12e-02      1.43e-02    2.2e-04
 450000      7.70e+00      1.13e-02      7.66e-02      3.98e-02    2.1e-04
 452000      6.99e+00      2.78e-03      6.99e-02      1.33e-02    2.1e-04
 454000      7.25e+00      7.45e-03      7.25e-02      1.59e-02    2.1e-04
 456000      4.95e+00      1.18e-02      4.94e-02      1.17e-02    2.1e-04
 458000      6.09e+00      2.73e-05      6.09e-02      7.92e-03    2.1e-04
 460000      7.31e+00      1.65e-03      7.31e-02      1.89e-02    2.1e-04
 462000      7.21e+00      7.74e-03      7.19e-02      2.65e-02    2.1e-04
 464000      6.98e+00      7.37e-04      6.96e-02      2.59e-02    2.0e-04
 466000      7.21e+00      1.75e-03      7.20e-02      2.83e-02    2.0e-04
 468000      9.51e+00      1.43e-02      9.51e-02      2.69e-02    2.0e-04
 470000      8.67e+00      2.88e-03      8.67e-02      1.55e-02    2.0e-04
 472000      1.08e+01      4.04e-03      1.08e-01      2.37e-02    2.0e-04
 474000      4.68e+00      1.03e-02      4.68e-02      9.57e-03    2.0e-04
 476000      8.07e+00      8.26e-03      8.07e-02      1.29e-02    2.0e-04
 478000      7.35e+00      4.76e-03      7.35e-02      1.02e-02    2.0e-04
 480000      8.95e+00      2.46e-03      8.94e-02      1.07e-02    1.9e-04
 482000      8.47e+00      2.12e-03      8.47e-02      1.55e-02    1.9e-04
 484000      5.67e+00      3.79e-03      5.66e-02      1.39e-02    1.9e-04
 486000      5.45e+00      2.88e-03      5.43e-02      2.14e-02    1.9e-04
 488000      5.71e+00      3.44e-03      5.70e-02      1.87e-02    1.9e-04
 490000      4.52e+00      6.27e-03      4.52e-02      7.93e-03    1.9e-04
 492000      7.35e+00      5.39e-03      7.34e-02      2.63e-02    1.9e-04
 494000      7.94e+00      4.53e-03      7.94e-02      2.56e-02    1.8e-04
 496000      8.30e+00      5.62e-03      8.29e-02      1.94e-02    1.8e-04
 498000      1.08e+01      1.91e-02      1.08e-01      1.23e-02    1.8e-04
 500000      5.01e+00      4.20e-03      5.00e-02      1.37e-02    1.8e-04
 502000      2.56e+00      3.31e-03      2.55e-02      1.62e-02    1.8e-04
 504000      3.80e+00      3.14e-03      3.80e-02      6.56e-03    1.8e-04
 506000      9.12e+00      2.09e-03      9.10e-02      2.80e-02    1.8e-04
 508000      2.40e+00      1.17e-03      2.39e-02      9.58e-03    1.8e-04
 510000      8.16e+00      1.83e-03      8.11e-02      5.76e-02    1.7e-04
 512000      9.28e+00      2.18e-03      9.27e-02      2.17e-02    1.7e-04
 514000      6.70e+00      7.38e-03      6.70e-02      1.01e-02    1.7e-04
 516000      7.24e+00      9.09e-04      7.23e-02      1.72e-02    1.7e-04
 518000      8.66e+00      3.84e-03      8.65e-02      2.08e-02    1.7e-04
